sep=,
"ID","NAME","NAT","OA","CON","TAL","EXP","AGG","TEI","STA","CHA","MOT","REP","AGE","WEI","RET","SAL","FEE","FAV","OFF"
"14776","Greg Pesenti-Rossi","ITA","39","0","143","43","16","16","0","54","0","0","39","106","2","195000","100000","46,24","0"
"28503","Sarah Sutcliffe","GBR","39","62","31","146","0","74","0","100","0","0","41","103","1","199500","100000","6,1","0"
"28178","Sarah Kennedy","GBR","44","3","128","97","0","41","0","87","0","0","34","101","2","312731","100000","15,63","0"
"15890","Larry Andretti","USA","45","0","160","21","39","22","0","44","0","0","39","102","2","225000","100000","19,44","0"
"27524","Davide Piscopo","ITA","45","75","89","45","0","34","0","131","0","0","37","104","2","225000","100000","","0"
"24190","Lorenzo Adamich","ITA","46","0","151","41","0","59","0","78","0","0","37","105","2","230000","100000","51,61,52","0"
"16033","Danny Carpenter","USA","47","135","48","8","44","78","0","47","0","0","28","98","2","235000","100000","12,4","0"
"23909","Fabio Bianco","BRA","47","102","37","20","26","103","0","138","0","0","28","101","0","235000","100000","62,33","0"
"25978","Karolina Kubica","POL","47","146","45","21","90","25","0","12","0","0","25","88","2","253049","100000","","0"
"25177","Aivis Sepp","EST","48","25","75","56","66","61","0","144","0","0","37","105","2","240000","100000","12,56","0"
"10751","Patrick Duval","FRA","49","7","45","224","1","100","0","159","0","0","43","91","2","251750","100000","","0"
"9137","Patrick Cannon","CAN","50","0","141","95","0","52","0","110","0","0","40","100","2","250000","100000","38,27,31","0"
"23734","Jake Cogan","USA","50","95","52","85","37","41","0","148","0","0","38","105","2","251750","100000","27,53","0"
"24746","Luiz Felipe Enrique","BRA","50","73","117","8","15","55","0","86","0","0","29","96","2","410166","100000","33,30,47","0"
"28066","Cassey Elford","GBR","50","113","30","69","76","20","0","153","0","0","35","101","2","250000","100000","24,23,64","0"
"8662","Roberto Di Grassi","BRA","51","0","146","53","52","0","0","138","0","0","38","102","1","255000","100000","55,47","0"
"16245","Scott Foyt","USA","51","81","33","71","26","142","0","132","0","0","37","102","0","490342","103231","10,58","0"
"22234","Stephen Oakes","GBR","51","27","190","48","0","17","0","20","0","0","37","102","2","255000","100000","56","0"
"10787","Alain Gommendy","FRA","52","0","215","28","0","0","0","54","0","0","36","102","2","215000","100000","14,60,37","0"
"12895","Jason Magee","GBR","52","68","139","17","11","47","0","63","0","0","26","93","2","267041","100000","19,17,37","0"
"22229","Robbie Oakes","GBR","52","123","31","153","0","96","0","87","0","0","38","101","2","384883","100000","22,53","0"
"24258","Renzo Bandini","ITA","52","91","56","28","96","55","0","85","0","0","27","92","2","334326","100000","","0"
"24374","Carlo Maria Colciago","ITA","52","126","21","20","81","70","0","136","0","0","26","89","2","498485","100000","4,43","0"
"15076","Masahiro Fukuda","JPN","53","103","58","7","133","0","0","113","0","0","27","88","2","416700","100000","","0"
"23032","Paolo Maria Liuzzi","ITA","53","94","81","40","16","99","0","95","0","0","35","102","2","394160","100000","4,45,18","0"
"23867","Sergey Sofuo&#287;lu","TUR","53","169","53","65","17","46","0","31","24","0","25","81","2","265000","100000","53,60","0"
"29000","Nico Wehrlein","DEU","53","56","105","26","9","92","0","126","0","0","31","100","2","265000","100000","35,56,53","0"
"9529","Thomas Heyer","DEU","54","21","146","58","27","33","0","121","0","0","39","103","1","311312","100000","17,9","0"
"17230","Rikky H&#252;lkenberg","DEU","54","80","62","8","149","0","27","83","0","0","20","87","2","392597","100000","15,12","0"
"21113","Jean Karl Pla","FRA","54","49","116","81","0","33","0","179","0","0","37","102","2","270000","100000","53,3","0"
"25167","Aivis Rammo","EST","54","55","122","29","113","17","0","16","0","0","26","92","2","418046","100000","52,25","0"
"28976","Dirk Wehrlein","DEU","54","90","75","65","20","104","0","92","4","0","34","102","2","280250","100000","4,36","0"
"29249","Nico Kirchh&#246;fer","DEU","54","82","67","69","7","115","0","132","0","0","36","101","0","920579","457219","3","0"
"30730","Erik Alphand","FRA","54","77","34","35","112","90","0","119","0","0","25","86","2","469006","100000","57,10","0"
"15216","Yuji Inoue","JPN","55","73","87","29","41","40","7","165","0","0","25","78","2","457526","100000","49,18","0"
"19456","Loris Primat","CHE","55","123","59","57","0","83","0","161","0","0","30","102","2","275000","100000","30,54","0"
"19497","Cyndie Vonlanthen","CHE","55","69","46","111","29","101","0","176","0","0","34","101","0","668882","275439","17,32","0"
"28331","Cassey Needell","GBR","55","144","36","24","62","51","0","158","0","0","27","95","2","275000","100000","63,45","0"
"30007","Ralph Buller","GBR","55","78","90","14","60","110","0","45","0","0","25","86","0","275000","100000","","0"
"13781","Lewis Wilson","GBR","56","116","74","64","30","89","0","57","0","0","28","89","2","280000","100000","40,44","0"
"17258","Jaime Barba","ESP","56","121","48","55","37","82","0","157","0","0","34","107","2","280000","100000","18,2","0"
"23452","Kazuya Takahashi","JPN","56","63","42","29","120","71","19","132","0","0","25","94","0","615736","145457","17,6","0"
"24605","Hayden Walker","AUS","56","58","101","25","3","132","0","118","0","0","26","90","2","280000","100000","30,39","0"
"25400","Chrissy Lloyd","GBR","56","110","58","22","3","127","29","98","0","0","23","83","2","288900","100000","49,61,45","0"
"25832","Andrew Heimgartner","NZL","56","116","48","18","67","117","0","91","0","0","34","105","2","465675","100000","37,16,30","0"
"25868","Andrew Reid","NZL","56","55","69","2","49","122","26","125","0","0","23","81","2","385943","100000","33,45,27","0"
"26162","Alexander Allmendinger","USA","56","100","75","42","28","119","0","85","0","0","36","103","2","280000","100000","8,13","0"
"27152","Carlo Maria Latif","ITA","56","46","150","31","36","2","0","126","0","0","23","86","0","1319022","1673177","10,5","0"
"28307","Dino McCarthy","GBR","56","20","188","50","4","50","0","46","0","0","38","104","1","307737","100000","","0"
"28420","Piers Powell","GBR","56","99","34","13","92","149","0","60","0","0","25","88","2","288769","100000","28,11","0"
"28489","Scott South","GBR","56","54","165","18","0","78","0","27","0","0","27","95","2","275000","100000","34,49,9","0"
"29198","Marvin Bartels","DEU","56","154","41","10","107","2","27","73","0","0","24","76","0","1068533","596930","","0"
"29779","Sage Newgarden","USA","56","53","112","47","0","150","0","70","0","0","38","106","2","280000","100000","12,34","0"
"36156","Rupert Bennett","GBR","56","153","49","21","28","90","3","88","0","0","24","80","2","280000","100000","27,4","0"
"11930","Adam Courage","GBR","57","0","121","132","1","91","0","160","0","0","43","102","1","494035","100000","","0"
"13615","Lewis Walker","GBR","57","36","106","17","126","22","0","107","0","0","24","86","0","285000","100000","2,3,13","0"
"14137","Nanni Colciago","ITA","57","72","87","30","38","57","7","166","0","0","25","78","2","285000","100000","","0"
"15771","Torsten Brack","SWE","57","96","36","117","0","119","0","186","0","0","36","96","2","285000","100000","64,53","0"
"15796","Stefan Ekstr&ouml;m","SWE","57","176","44","40","0","66","0","156","0","0","28","93","2","1586503","2066503","","0"
"15926","Rich Antinucci","USA","57","49","83","213","0","11","0","210","0","0","42","101","2","285000","100000","57,9,26","0"
"16699","Scott Patrick","USA","57","91","53","21","112","111","0","56","0","0","26","98","2","285000","100000","32,16,34","0"
"19617","Manfred Elkmann","DEU","57","99","90","42","0","147","0","60","0","0","36","104","2","285000","100000","25,38","0"
"21587","Rob Franchitti","GBR","57","74","94","50","29","87","0","122","0","0","31","95","0","285000","100000","5,42","0"
"22343","Oliver Pryce","GBR","57","20","133","84","30","108","0","50","0","0","36","102","0","465289","113212","54,23","0"
"23281","Mirko Tedeschi","ITA","57","88","111","30","0","46","0","178","0","0","29","100","2","285533","100000","30,26","0"
"25643","Sakon Nakayama","JPN","57","104","114","15","0","33","0","170","0","0","36","103","2","285000","100000","51,64,17","0"
"26538","Josef Yasukawa","USA","57","105","47","4","114","97","29","21","0","0","24","87","0","285000","100000","17,50","0"
"26762","Klaas Mulder","NLD","57","22","117","138","0","122","0","66","0","0","40","99","2","285000","100000","","0"
"26891","Nyck Vergers","NLD","57","97","86","22","143","21","9","13","0","0","24","94","2","285000","100000","36,45","0"
"27281","Pierluigi Bizzarri","ITA","57","147","67","58","24","105","0","33","0","0","28","94","2","285000","100000","","0"
"27756","Darren Busch","USA","57","86","79","17","93","30","23","89","0","0","24","78","0","669265","157459","61,48","0"
"28579","Damien Zamparelli","GBR","57","74","106","32","66","55","0","87","0","0","22","94","2","285000","100000","6,21,44","0"
"29459","Lamberto Marciello","ITA","57","99","154","12","8","45","2","22","0","0","24","86","2","290000","100000","62,51","0"
"35716","Loic Max","FRA","57","150","58","22","7","122","34","29","0","0","23","86","2","290000","100000","13,32","0"
"36141","Matthew Bennett","GBR","57","150","22","24","86","22","37","133","0","0","23","82","2","285000","100000","33","0"
"36155","Roger Bennett","GBR","57","51","71","19","119","50","2","153","0","0","24","86","2","353515","100000","55,38,49","0"
"36401","George Carroll","GBR","57","110","92","25","20","47","15","121","0","0","22","85","2","541026","100000","48,24","0"
"37707","Katherine Watts","GBR","57","114","99","16","12","12","37","120","0","0","24","77","2","289449","100000","51,41","0"
"13784","Robbie Wilson","GBR","58","104","22","13","111","131","54","13","0","0","23","84","2","290000","100000","25,64,14","0"
"14035","Ronnie Caffi","ITA","58","60","116","98","0","48","0","161","0","0","38","102","2","422300","100000","3,46","0"
"15070","Hiroshi Fukuda","JPN","58","167","86","12","6","45","18","67","0","0","24","83","2","689146","115097","36,13","0"
"15205","Ukyo Ihara","JPN","58","121","26","12","73","139","25","69","0","0","24","74","2","295000","100000","7,5,11","0"
"15327","Sakon Motoyama","JPN","58","72","115","48","75","70","0","33","0","0","30","101","2","295000","100000","62,48","0"
"16387","George Hunter-Reay","USA","58","50","142","2","48","49","0","93","0","0","21","78","2","337276","100000","26,54","0"
"17373","Kamui Inoue","JPN","58","186","24","62","1","96","0","147","0","0","32","98","0","290000","100000","","0"
"17941","Wilson Razia","BRA","58","162","41","16","15","71","24","151","0","0","21","89","2","290000","100000","24,2,35","0"
"19793","Thomas Hegewald","DEU","58","121","81","2","47","97","24","20","0","0","24","82","2","290000","100000","","0"
"20057","Stefan Las&#233;e","DEU","58","143","83","118","0","43","0","84","0","0","37","97","2","317641","100000","42,25","0"
"21094","Simon Perera","FRA","58","13","182","35","35","59","0","50","0","0","37","102","0","666163","194880","28,24","0"
"22055","Piers Lancaster","GBR","58","110","93","67","0","50","0","155","0","0","32","97","2","290000","100000","","0"
"22785","Enrico Bonanomi","ITA","58","70","132","21","66","38","0","70","0","0","35","104","2","290000","100000","10,4","0"
"23584","Ross van Dam","NLD","58","114","85","110","0","36","0","155","0","0","36","100","2","290000","100000","7,23","0"
"23638","Dominick Wunderink","NLD","58","90","74","33","63","92","0","122","0","0","28","100","2","290000","100000","","0"
"23951","Alexandro da Silva Ramos","BRA","58","80","70","23","0","149","0","180","4","0","35","102","0","1178129","1455073","26,61,41","0"
"24579","Gary Mostert","AUS","58","52","153","31","30","37","30","31","0","0","23","91","2","290000","100000","31,8,38","0"
"25911","Damian Broniszewski","POL","58","134","41","16","129","78","4","25","0","0","24","88","2","309608","100000","48","0"
"26188","Josef Carpenter","USA","58","159","113","26","38","0","4","34","0","0","22","88","2","290000","100000","15,23","0"
"26361","Sean Patrick","USA","58","127","40","19","151","0","9","116","0","0","24","83","2","453660","100000","4,41,52","0"
"26648","Michael de Vries","NLD","58","47","100","22","0","114","0","148","49","0","25","83","0","295000","156602","1,5","0"
"27008","Stefanos Antoniadis","GRC","58","44","196","33","15","9","6","32","0","0","21","87","0","235000","100000","21,20,32","0"
"27176","Lamberto Latif","ITA","58","122","56","22","126","0","0","133","0","0","20","90","2","530192","100000","12,58,27","0"
"28107","Dino Hamilton","GBR","58","97","71","15","26","134","37","55","0","0","21","89","2","325599","100000","50,21,2","0"
"29135","Elton Merchan Maldonado","ECU","58","42","85","4","144","61","15","77","0","0","23","93","2","357696","100000","51,13","0"
"29151","Nassim Gerbi","DZA","58","72","107","61","65","70","0","52","0","0","35","101","0","1023506","1137272","46,8","0"
"29380","Raffaele Apicella","ITA","58","75","81","43","42","105","0","139","0","0","33","102","2","314519","100000","","0"
"34453","Dino Beganovic","BIH","58","86","88","27","77","61","28","34","0","0","22","74","2","290000","100000","","0"
"35740","Isack Moreau","FRA","58","43","123","27","32","14","36","169","0","0","21","92","2","548646","100000","10,32,42","0"
"35852","Esteban Pironi","FRA","58","63","104","9","25","139","21","37","0","0","24","77","0","761395","153428","28,21,10","0"
"36053","Peter Bearman","GBR","58","38","90","6","81","55","44","126","0","0","22","81","2","290000","100000","6,16,48","0"
"36834","David Kennedy","GBR","58","106","22","5","72","158","25","86","0","0","23","78","2","290000","100000","11,34,52","0"
"37294","Julian Powell","GBR","58","82","118","11","55","11","26","101","0","0","21","91","2","310766","100000","8,36","0"
"37650","Jackie Trimmer","GBR","58","29","67","20","64","94","44","165","0","0","24","79","2","290000","100000","57,20","0"
"37967","Stefano Bizzarri","ITA","58","35","179","13","0","32","37","56","0","0","22","91","2","290000","100000","12,18","0"
"38594","Kosuke Motoyama","JPN","58","141","36","6","81","41","20","149","0","0","22","83","0","729287","149844","47,11,43","0"
"39283","Sam Lunger","USA","58","36","136","28","28","108","23","20","0","0","22","85","2","311769","100000","26,7","0"
"5413","Domenico Gabbiani","ITA","59","0","203","37","0","100","0","24","0","0","42","109","2","295000","100000","1,23,38","0"
"13473","Steven Stewart","GBR","59","102","129","27","0","77","22","13","0","0","24","78","2","295000","100000","1,53","0"
"13622","Peter Walker","GBR","59","19","117","23","44","83","46","92","0","0","22","79","2","295000","100000","29,45,35","0"
"14341","Nicola Giovanardi","ITA","59","0","189","33","40","81","0","27","0","0","39","105","2","406572","100000","","0"
"14947","Emanuele Tedeschi","ITA","59","95","61","31","159","5","39","35","0","0","19","87","0","1560214","1718661","18,10,43","0"
"16383","Danny Hunter-Reay","USA","59","162","64","7","27","93","11","71","0","0","23","88","2","295000","100000","59,60","0"
"16629","Kevin Manning","USA","59","38","113","184","0","83","0","92","0","21","43","98","1","368078","100000","","0"
"17478","Carlos Couceiro","PRT","59","102","91","14","68","85","21","17","0","0","24","75","2","300000","100000","24,51","0"
"18433","Robert Waldschmidt","NLD","59","145","47","17","73","113","11","24","0","0","23","75","0","295000","100000","34,7","0"
"18548","Volker Klingmann","DEU","59","128","33","1","48","123","16","147","0","0","22","92","0","587661","129098","45,59","0"
"19016","Richard Neuhauser","AUT","59","131","82","36","0","136","0","50","0","0","24","82","2","295000","100000","18","0"
"19043","Jan Franchi","BEL","59","144","54","32","69","37","24","95","0","0","24","83","2","295639","100000","","0"
"19940","Rikky Klingmann","DEU","59","58","180","3","21","44","6","31","0","0","23","91","0","1013361","455272","","0"
"20026","Daniel Las&#233;e","DEU","59","154","62","17","98","34","10","55","0","0","27","96","2","295000","100000","17,43","0"
