sep=,
"ID","NAME","NAT","OA","CON","TAL","EXP","AGG","TEI","STA","CHA","MOT","REP","AGE","WEI","RET","SAL","FEE","FAV","OFF"
"14776","Greg Pesenti-Rossi","ITA","39","0","143","43","16","16","0","54","0","0","39","106","2","195000","100000","46,24","0"
"28178","Sarah Kennedy","GBR","44","3","128","97","0","41","0","87","0","0","34","101","2","297094","100000","15,63","0"
"15890","Larry Andretti","USA","45","0","160","21","39","22","0","44","0","0","39","102","2","225000","100000","19,44","0"
"27524","Davide Piscopo","ITA","45","74","89","45","0","34","0","131","0","0","37","104","2","225000","100000","","0"
"24190","Lorenzo Adamich","ITA","46","0","151","41","0","59","0","78","0","0","37","105","2","230000","100000","51,61,52","0"
"16033","Danny Carpenter","USA","47","134","48","8","44","78","0","47","0","0","28","98","2","235000","100000","12,4","0"
"25978","Karolina Kubica","POL","47","146","45","21","90","25","0","12","0","0","25","88","2","240397","100000","","0"
"25177","Aivis Sepp","EST","48","25","75","56","66","61","0","144","0","0","37","105","2","240000","100000","12,56","0"
"10751","Patrick Duval","FRA","49","7","45","224","1","100","0","159","0","0","43","91","2","245000","100000","","0"
"9137","Patrick Cannon","CAN","50","0","141","95","0","52","0","110","0","0","40","100","2","250000","100000","38,27,31","0"
"23734","Jake Cogan","USA","50","95","52","85","37","41","0","148","0","0","38","105","2","250000","100000","27,53","0"
"24746","Luiz Felipe Enrique","BRA","50","73","117","8","15","55","0","86","0","0","29","96","2","389658","100000","33,30,47","0"
"28066","Cassey Elford","GBR","50","113","30","69","76","20","0","153","0","0","35","101","2","250000","100000","24,23,64","0"
"8662","Roberto Di Grassi","BRA","51","0","146","53","52","0","0","138","0","0","38","102","1","255000","100000","55,47","0"
"22229","Robbie Oakes","GBR","51","122","31","153","0","96","0","87","0","0","38","101","2","365639","100000","22,53","0"
"22234","Stephen Oakes","GBR","51","27","190","48","0","17","0","20","0","0","37","102","2","255000","100000","56","0"
"10787","Alain Gommendy","FRA","52","0","215","28","0","0","0","54","0","0","36","102","2","215000","100000","14,60,37","0"
"12895","Jason Magee","GBR","52","67","139","17","11","47","0","63","0","0","26","93","2","260000","100000","19,17,37","0"
"16245","Scott Foyt","USA","52","80","33","72","26","124","0","132","31","0","37","101","0","1175109","1475109","10,58","0"
"23867","Sergey Sofuo&#287;lu","TUR","52","169","53","65","17","46","0","31","14","0","25","81","2","265000","100000","53,60","0"
"24258","Renzo Bandini","ITA","52","91","56","28","96","55","0","85","0","0","27","92","2","317610","100000","","0"
"24374","Carlo Maria Colciago","ITA","52","125","21","20","81","70","0","136","0","0","26","89","2","473561","100000","4,43","0"
"29000","Nico Wehrlein","DEU","52","56","105","26","9","92","0","126","0","0","31","100","2","265000","100000","35,56,53","0"
"15076","Masahiro Fukuda","JPN","53","103","58","7","133","0","0","113","0","0","27","88","2","395865","100000","","0"
"23032","Paolo Maria Liuzzi","ITA","53","94","81","40","16","99","0","95","0","0","35","102","2","374452","100000","4,45,18","0"
"9529","Thomas Heyer","DEU","54","21","146","58","27","33","0","121","0","0","39","103","1","295746","100000","17,9","0"
"17230","Rikky H&#252;lkenberg","DEU","54","79","62","8","149","0","27","83","0","0","20","87","2","372967","100000","15,12","0"
"21113","Jean Karl Pla","FRA","54","48","116","81","0","33","0","179","0","0","37","102","2","270000","100000","53,3","0"
"25167","Aivis Rammo","EST","54","54","122","29","113","17","0","16","0","0","26","92","2","397144","100000","52,25","0"
"28976","Dirk Wehrlein","DEU","54","90","75","65","20","104","0","92","0","0","34","102","2","270000","100000","4,36","0"
