sep=,
"ID","NAME","NAT","OA","LEA","MEC","ELE","AER","EXP","PIT","MOT","AGE","RET","SAL","FEE","OFF"
"1367","Sandro Minardi","ITA","37","0","59","90","171","0","0","0","66","0","170000","245","0"
"2000","Murray Horner","GBR","39","0","112","170","57","0","0","0","78","0","180000","3","0"
"2214","Nino Philippe","FRA","40","0","31","141","131","0","19","0","59","0","200000","7425","0"
"1703","Malcolm Whiting","GBR","41","0","191","82","31","0","22","0","72","1","205000","3","0"
"2040","Luigi Martini","ITA","42","0","162","47","149","0","0","0","76","1","210000","3","0"
"2009","Bart Barnard","GBR","43","0","70","97","190","0","6","0","70","0","220000","3","0"
"2039","Tino Symonds","GBR","44","0","102","159","65","0","26","0","63","0","225000","76","0"
"1331","Bernard Bailey","GBR","45","0","186","144","57","0","0","0","73","0","225000","3","0"
"1365","Geraldo Balestre","FRA","45","0","183","40","122","0","21","0","69","0","225000","3","0"
"1396","James Stroud","GBR","45","0","34","51","194","0","53","0","68","0","220000","3","0"
"2196","Norbert Moog","DEU","45","0","62","195","34","0","46","0","65","0","220000","3","0"
"2442","Nick Surtees","GBR","45","0","52","167","69","0","49","0","62","0","230000","3","0"
"1108","Stefano Zafarrelli","ITA","46","0","143","154","99","0","0","0","78","1","230000","3","0"
"1687","Thomas Colombo","ITA","46","0","180","153","36","0","12","0","64","0","230000","3","0"
"1949","Malcolm Gorne","GBR","46","0","127","49","170","0","22","0","68","0","230000","14","0"
"2169","Friedrich-Wilhelm Zollner","DEU","46","0","71","140","181","0","0","0","72","0","230000","3","0"
"904","Jean-Claude David","FRA","47","0","150","87","60","0","52","0","55","0","235000","57","0"
"956","Colin Oastler","GBR","47","0","194","53","139","0","8","0","72","0","235000","3","0"
"1552","Enzo Marmiroli","ITA","47","0","83","157","165","0","0","0","78","1","235000","3","0"
"1640","Charles Byrne","GBR","47","0","94","62","196","0","25","0","73","0","240000","3","0"
"1877","David Lee","GBR","47","0","56","85","152","0","56","0","56","0","200000","178","0"
"2108","Sergio Caliri","ITA","47","0","69","169","123","0","22","0","63","0","240000","3","0"
"1277","Aurelio Lagard&egrave;re","FRA","48","0","139","184","90","0","0","0","71","0","240000","3","0"
"1395","James Brundle","GBR","48","0","129","170","109","0","0","0","76","0","240000","3","0"
"2260","Colin Surtees","GBR","48","0","144","191","45","0","15","0","71","0","245000","3","0"
"2265","Ron Walton","GBR","48","0","137","81","187","0","3","0","64","0","240000","3","0"
"2318","Terence Bernard","GBR","48","0","193","61","154","0","0","0","73","0","240000","3","0"
"865","Jean-Jacques Larrousse","FRA","49","0","186","120","66","0","23","0","57","0","245000","3","0"
"1145","Murray Handford","GBR","49","0","165","60","171","0","14","0","71","0","245000","3","0"
"1263","Rory Ferris","GBR","49","0","120","185","82","0","16","0","60","0","245000","3","0"
"2254","Al Hanson","USA","49","0","151","195","73","0","0","0","82","0","245000","3","0"
"2431","Gavin Cooper","GBR","49","0","190","128","72","0","13","0","64","0","245000","3","0"
