sep=,
"ID","NAME","NAT","OA","CON","TAL","EXP","AGG","TEI","STA","CHA","MOT","REP","AGE","WEI","RET","SAL","FEE","FAV","OFF"
"25563","Kotaro Hirate","JPN","32","24","105","41","27","0","0","44","0","0","37","105","0","175000","100000","39,60","1"
"14776","Greg Pesenti-Rossi","ITA","39","0","143","43","16","16","0","54","0","0","39","106","2","200000","100000","46,24","0"
"28503","Sarah Sutcliffe","GBR","39","62","31","146","0","74","0","100","0","0","41","103","1","210000","100000","6,1","0"
"17196","S&#233;bastien Regazzoni","CHE","40","128","43","12","11","76","0","45","0","0","27","92","2","200000","100000","33","1"
"28178","Sarah Kennedy","GBR","44","3","128","97","0","41","0","87","0","0","34","101","2","329190","100000","15,63","0"
"15890","Larry Andretti","USA","45","0","160","21","39","22","0","44","0","0","39","102","2","230000","100000","19,44","0"
"27524","Davide Piscopo","ITA","45","75","89","45","0","34","0","131","0","0","37","104","2","235000","100000","","0"
"24190","Lorenzo Adamich","ITA","46","0","151","41","0","59","0","78","0","0","37","105","2","230000","100000","51,61,52","0"
"16033","Danny Carpenter","USA","47","135","48","8","44","78","0","47","0","0","28","98","2","239169","100000","12,4","1"
"23909","Fabio Bianco","BRA","47","102","37","20","26","103","0","138","0","0","28","101","0","240000","100000","62,33","0"
"25978","Karolina Kubica","POL","47","147","45","21","90","25","0","12","0","0","25","88","2","266367","100000","","0"
"25177","Aivis Sepp","EST","48","25","75","56","66","61","0","144","0","0","37","105","2","250000","100000","12,56","0"
"10751","Patrick Duval","FRA","49","7","45","224","1","100","0","159","0","0","43","91","2","265000","100000","","0"
"9137","Patrick Cannon","CAN","50","0","141","95","0","52","0","110","0","0","40","100","2","250000","100000","38,27,31","0"
"23734","Jake Cogan","USA","50","96","52","85","37","41","0","148","0","0","38","105","2","265000","100000","27,53","0"
"24746","Luiz Felipe Enrique","BRA","50","73","117","8","15","55","0","86","0","0","29","96","2","431754","100000","33,30,47","0"
"28066","Cassey Elford","GBR","50","114","30","69","76","20","0","153","0","0","35","101","2","260000","100000","24,23,64","0"
"8662","Roberto Di Grassi","BRA","51","0","146","53","52","0","0","138","0","0","38","102","1","260000","100000","55,47","0"
"16245","Scott Foyt","USA","51","82","33","71","26","142","0","132","0","0","37","102","0","516149","121448","10,58","0"
